,word,word_freq,doc_freq,group_freq
123,street,497,359,20
124,buffalo,206,113,14
125,new,5774,3336,20
126,york,721,452,20
127,an,16859,8043,20
128,alternate,56,52,14
129,address,1244,787,20
130,which,10805,5477,20
131,may,5550,3111,20
132,be,32166,11066,20
133,newer,166,139,16
134,older,300,235,20
135,glenn,78,65,15
136,drive,2424,1121,20
137,ny,367,268,20
138,african-americans,10,7,4
139,humanism,16,8,5
140,organization,673,517,20
141,promoting,51,45,11
142,black,988,606,20
143,secular,134,70,5
144,uncovering,8,8,5
145,history,1169,739,19
146,freethought,5,3,1
147,they,22770,7809,20
148,quarterly,42,35,12
149,newsletter,193,56,15
150,aah,2,2,1
151,examiner,36,27,8
152,norm,63,53,13
153,r,1142,587,20
154,allen,182,149,18
155,african,92,46,12
156,americans,458,263,15
157,united,756,389,20
158,kingdom,221,139,13
159,rationalist,4,4,2
160,association,245,165,19
161,national,1302,742,20
162,society,866,517,19
163,islington,2,2,1
164,high,1652,1207,20
165,holloway,6,6,2
166,london,198,123,19
167,british,379,238,18
168,humanist,20,15,5
169,south,436,274,20
170,place,1721,1334,20
171,ethical,79,59,11
172,lamb,51,41,10
173,conduit,25,11,6
174,passage,176,111,10
175,conway,8,8,4
176,hall,271,187,20
177,red,728,494,20
178,lion,23,19,8
179,square,145,125,19
180,freethinker,2,2,1
181,monthly,88,69,15
182,magazine,355,277,20
183,founded,101,85,12
184,germany,477,326,19
185,ibka,6,2,1
186,internationaler,4,2,1
187,bund,6,5,4
188,der,66,46,14
189,konfessionslosen,4,2,1
190,und,27,18,7
191,atheisten,4,2,1
192,postfach,14,10,4
193,berlin,53,41,13
194,journal,249,142,19
195,miz,2,2,1
196,materialien,2,2,1
197,informationen,2,2,1
198,zur,6,6,3
199,zeit,5,5,4
200,politisches,2,2,1
201,konfessionslosesn,2,2,1
202,hrsg,2,2,1
203,miz-vertrieb,2,2,1
204,ibdk,2,2,1
205,b,1462,778,20
206,ucherdienst,2,2,1
207,hannover,6,6,4
208,fiction,114,85,11
209,thomas,457,343,20
210,m,1588,646,20
211,disch,2,2,1
212,santa,145,95,18
213,claus,18,12,5
214,compromise,170,106,15
215,short,730,617,20
216,story,659,504,20
217,ultimate,119,103,18
218,proof,416,298,18
219,that,69375,14133,20
220,exists,645,511,19
221,all,15758,7629,20
222,characters,179,120,15
223,events,538,387,18
224,fictitious,5,5,4
225,any,11869,7016,20
226,similarity,27,26,13
227,living,615,488,19
228,dead,879,620,20
229,gods,258,146,13
230,uh,95,88,16
231,walter,61,52,15
232,miller,215,119,20
233,jr,107,94,18
234,canticle,2,2,1
235,leibowitz,4,2,1
236,gem,23,21,12
237,this,33687,11700,20
238,post,1763,1437,20
239,atomic,121,87,14
240,doomsday,5,3,2
241,novel,51,40,15
242,monks,9,8,4
243,spent,310,254,20
244,lives,534,405,19
245,copying,71,61,13
246,blueprints,3,3,2
247,saint,95,66,12
248,filling,47,42,18
249,sheets,65,37,16
250,paper,567,407,20
251,ink,74,36,8
252,leaving,197,181,20
253,white,956,613,20
254,lines,1255,978,20
255,letters,226,180,20
256,edgar,42,32,9
257,pangborn,2,2,1
258,davy,8,8,2
259,set,2175,1410,20
260,clerical,7,7,5
261,states,1232,613,20
262,church,1180,470,14
263,example,1735,1217,20
264,forbids,16,16,7
265,anyone,4221,3574,20
266,produce,351,289,19
267,describe,218,201,19
268,use,6759,3715,20
269,substance,121,100,13
270,atoms,130,57,8
271,philip,43,39,14
272,k,722,326,20
273,dick,129,107,18
274,thought-provoking,6,5,2
275,wrote,919,801,20
276,many,4969,3125,20
277,philosophical,73,59,10
278,stories,235,194,20
279,novels,11,9,6
280,his,7807,3205,20
281,bizarre,54,50,16
282,at,17863,8163,20
283,times,1521,1159,20
284,very,5342,3453,20
285,approachable,2,2,1
286,he,14085,4039,20
287,mainly,177,161,20
288,sf,72,61,17
289,about,14070,7255,20
290,truth,1146,607,19
291,rather,1956,1525,20
292,than,8292,4800,20
293,technology,1076,687,20
294,although,1099,875,20
295,often,1194,871,20
296,believed,319,259,17
297,had,8297,4230,20
298,met,225,181,18
299,some,11361,6113,20
300,sort,1017,849,20
301,god,5012,1400,20
302,remained,81,72,15
303,sceptical,25,19,5
304,amongst,82,78,17
305,following,1655,1245,20
306,relevance,55,50,14
307,pot-healer,4,2,1
308,galactic,38,29,2
309,fallible,13,11,3
310,alien,70,60,11
311,deity,82,45,7
312,summons,12,10,4
313,group,1959,1316,20
314,earth,1094,613,19
315,craftsmen,3,3,2
316,women,897,458,17
317,remote,370,212,19
318,planet,327,173,19
319,raise,235,209,18
320,giant,76,63,14
321,cathedral,6,6,4
322,beneath,31,29,10
323,oceans,7,5,3
324,when,9825,5424,20
325,begins,127,97,18
326,demand,248,194,19
327,faith,984,457,16
328,earthers,4,4,2
329,joe,434,328,20
330,fernwright,2,2,1
331,unable,207,201,19
332,comply,29,24,10
333,polished,12,11,5
334,ironic,46,44,13
335,amusing,42,41,13
336,maze,12,12,6
337,death,989,662,20
338,technology-based,2,2,1
339,noteworthy,18,18,8
340,its,4179,2500,20
341,description,340,251,20
342,valis,4,4,2
343,schizophrenic,3,3,1
344,hero,39,34,10
345,searches,68,59,16
346,hidden,140,118,19
347,mysteries,39,30,5
348,gnostic,8,8,3
349,christianity,618,364,8
350,after,4065,2768,20
351,reality,514,348,20
352,fired,216,155,15
353,into,5314,3312,20
354,brain,321,237,19
355,pink,83,45,11
356,laser,199,130,14
357,beam,75,56,13
358,unknown,196,169,19
359,possibly,441,397,20
360,divine,179,118,10
361,origin,225,174,19
362,accompanied,34,31,8
363,dogmatic,21,19,4
364,dismissively,2,2,1
365,friend,713,588,20
366,odd,159,152,20
367,invasion,124,102,12
368,invades,8,8,2
369,making,1102,930,20
370,young,677,462,20
371,woman,398,250,19
372,pregnant,62,49,8
373,as,27023,8940,20
374,she,2267,764,20
375,returns,113,90,19
376,another,2777,2096,20
377,star,285,191,19
378,system,4305,2063,20
379,unfortunately,532,488,20
380,terminally,6,6,4
381,ill,78,69,13
382,must,2947,1940,20
383,assisted,38,30,10
384,man,1791,1138,20
385,whose,552,464,20
386,wired,47,41,13
387,easy,815,692,20
388,listening,161,149,18
389,music,251,189,20
390,margaret,14,14,8
391,atwood,5,3,2
392,handmaid,2,2,1
393,tale,45,33,14
394,premise,118,87,9
395,congress,442,234,14
396,mysteriously,6,6,5
397,assassinated,7,7,3
398,fundamentalists,43,34,5
399,quickly,297,269,20
400,take,3224,2384,20
401,charge,395,314,20
402,nation,347,233,14
403,right,4700,2857,20
404,again,2250,1679,20
405,diary,15,15,6
406,life,1983,1252,20
407,tries,117,108,19
408,live,1215,918,20
409,under,2570,1707,20
410,christian,1302,659,16
411,theocracy,4,3,1
412,own,2990,2113,20
413,property,349,220,18
414,revoked,13,12,7
415,bank,283,173,19
416,accounts,186,145,16
417,closed,416,329,20
418,sinful,79,46,5
419,luxuries,6,6,4
420,outlawed,23,20,6
421,radio,740,536,20
422,only,8489,5241,20
423,used,4126,2736,20
424,readings,33,24,9
425,crimes,209,146,10
426,punished,82,63,9
427,retroactively,3,3,2
428,doctors,243,142,14
429,performed,178,138,20
430,legal,680,456,20
431,abortions,113,52,5
432,old,1756,1322,20
433,world,2499,1617,20
434,hunted,7,7,4
435,down,2562,1810,20
436,hanged,32,21,7
437,writing,439,363,20
438,style,220,187,20
439,difficult,538,463,20
440,first,4834,3038,20
441,grows,44,41,10
442,more,9765,5369,20
443,chilling,19,17,6
444,goes,860,755,20
445,authors,177,115,15
446,somewhat,293,262,20
447,dull,40,33,13
448,rambling,14,13,9
449,work,3777,2540,20
450,has,12813,6744,20
451,been,7995,4591,20
452,criticized,20,19,10
453,however,2427,1810,20
454,you,46967,11529,20
455,probably,2288,1799,20
456,worth,732,597,20
457,reading,874,731,20
458,if,23619,10150,20
459,know,8822,5678,20
460,what,16903,7805,20
461,fuss,19,18,8
462,different,2336,1617,20
463,versions,355,233,18
464,make,5064,3459,20
465,sure,2858,2230,20
466,true,2267,1521,20
467,non-fiction,5,5,3
468,peter,545,387,20
469,de,429,283,20
470,rosa,18,16,6
471,vicars,2,2,1
472,christ,1066,477,10
473,bantam,7,6,4
474,seems,2303,1858,20
475,even,5628,3719,20
476,catholic,324,174,8
477,enlighting,2,2,1
478,papal,26,15,3
479,immoralities,3,3,2
480,adulteries,2,2,1
481,fallacies,17,10,4
482,etc,1944,1421,20
483,german,294,176,20
484,translation,247,168,17
485,gottes,2,2,1
486,erste,4,4,2
487,diener,2,2,1
488,die,573,421,20
489,dunkle,2,2,1
490,seite,2,2,1
491,des,496,171,13
492,papsttums,2,2,1
493,droemer-knaur,2,2,1
494,michael,794,606,20
495,martin,208,165,20
496,atheism,353,142,5
497,justification,155,120,14
498,temple,125,81,12
499,university,2694,2023,20
500,philadelphia,226,129,17
501,detailed,176,138,20
502,scholarly,54,44,9
503,outstanding,39,36,12
504,appendix,12,10,7
505,defining,67,56,12
506,terminology,52,49,16
507,usage,201,120,18
508,necessarily,540,502,20
509,tendentious,7,5,2
510,non-belief,5,3,2
511,argues,33,28,8
512,both,3069,2110,20
513,negative,176,147,20
514,existence,601,349,15
515,s,1919,1229,20
516,also,7450,4482,20
517,positive,297,241,19
518,belief,612,340,16
519,non-existence,29,21,4
520,includes,728,471,20
521,great,2082,1573,20
522,refutations,11,11,5
523,most,4750,3078,20
524,challenging,28,25,12
525,arguments,432,317,18
526,particular,855,643,20
527,attention,324,292,20
528,paid,404,320,20
529,refuting,10,10,5
530,contempory,2,2,1
531,theists,119,64,3
532,platinga,2,2,1
533,swinburne,12,2,1
534,pages,386,231,17
535,hardcover,17,14,6
536,paperback,41,33,8
537,case,2376,1708,20
538,against,2412,1531,20
539,comprehensive,140,75,15
540,critique,29,23,8
541,considers,69,65,13
542,best,2226,1687,20
543,contemporary,55,43,11
544,defences,3,3,2
545,ultimately,97,91,16
546,demonstrates,61,54,11
547,unsupportable,2,2,1
548,incoherent,16,14,5
549,turner,59,57,12
550,without,2855,2071,20
551,creed,62,20,6
552,johns,24,23,13
553,hopkins,62,61,15
554,baltimore,187,106,13
555,md,180,120,17
556,subtitled,2,2,1
557,origins,101,65,11
558,unbelief,6,3,2
559,america,570,395,20
560,examines,5,5,4
561,way,5055,3490,20
562,whether,1625,1168,20
563,agnostic,46,40,7
564,atheistic,22,18,3
565,became,339,255,20
566,mainstream,85,71,13
567,alternative,314,246,19
568,world-view,6,4,3
569,focusses,3,3,2
570,period,831,437,20
571,while,2992,2220,20
572,considering,408,361,20
573,france,188,121,17
574,britain,122,75,12
575,emphasis,117,81,15
576,particularly,428,375,20
577,england,206,168,18
578,developments,37,34,12
579,neither,611,537,20
580,religious,968,568,11
581,secularization,3,3,2
582,intellectual,117,107,12
583,fate,92,79,10
584,single,1005,762,20
585,idea,1546,1234,20
586,george,485,336,20
587,seldes,3,3,2
588,editor,294,191,19
589,thoughts,218,195,20
590,ballantine,2,2,1
591,dictionary,210,142,18
592,quotations,41,29,12
593,kind,1501,1226,20
594,concentrating,13,13,8
595,statements,404,309,18
596,person,1779,1215,20
597,writings,130,113,11
598,explicitly,135,116,17
599,implicitly,33,33,9
600,present,709,535,20
601,philosophy,188,143,17
602,obscure,70,53,17
603,suppressed,33,33,11
604,opinions,1485,1256,20
605,popular,378,281,20
606,observations,234,146,17
607,traces,39,28,12
608,expressed,437,425,20
609,twisted,52,45,16
610,over,4034,2664,20
611,centuries,127,106,8
612,quite,1695,1408,20
613,number,2758,1584,20
614,cardiff,7,3,2
615,derived,125,105,14
616,men,1059,584,16
617,think,7788,4672,20
618,noyes,19,17,2
619,views,466,348,19
620,richard,373,289,20
621,revised,87,52,16
622,clarendon,4,4,2
623,paperbacks,4,4,3
624,oxford,76,71,12
625,second,1910,1269,20
626,volume,483,227,20
627,trilogy,4,4,2
628,began,292,212,16
629,coherence,11,11,5
630,theism,154,34,3
631,was,22778,7669,20
632,concluded,80,76,16
633,reason,1890,1383,20
634,attempts,227,204,19
635,construct,46,44,14
636,series,752,502,20
637,inductive,29,18,7
638,rely,145,134,18
639,upon,882,669,20
640,imputation,4,4,3
641,late,497,415,20
642,century,324,236,16
643,western,498,323,18
644,values,734,359,20
645,aesthetics,11,11,3
646,supposedly,209,189,20
647,simple,893,726,20
648,conceived,36,33,8
649,were,9785,4233,20
650,mackie,23,18,4
651,decisively,5,5,3
652,rejected,125,109,16
653,miracle,91,65,12
654,makes,1466,1222,20
655,attempt,517,418,19
656,rebut,10,10,6
657,j,867,544,20
658,l,970,552,20
659,posthumous,2,2,1
660,review,350,246,20
661,principal,64,57,15
662,ranges,51,37,11
663,classical,59,51,14
664,positions,200,158,18
665,descartes,12,12,4
666,anselm,6,6,1
667,berkeley,99,81,16
668,hume,4,4,3
669,et,264,182,20
670,al,564,418,20
671,through,2732,1840,20
672,moral,896,378,16
673,newman,24,18,11
674,kant,13,6,4
675,sidgwick,2,2,1
676,recent,512,441,20
677,restatements,2,2,1
678,theses,3,3,2
679,plantinga,2,2,1
680,those,5135,3233,20
681,push,205,154,20
682,concept,365,290,20
683,beyond,458,403,20
684,realm,53,40,10
685,rational,184,127,15
686,kierkegaard,6,6,2
687,kung,3,3,2
688,philips,44,36,11
689,well,5479,3688,20
690,replacements,32,28,10
691,lelie,2,2,1
692,axiarchism,2,2,1
693,delight,13,12,7
694,read,2818,1941,20
695,less,1602,1231,20
696,formalistic,3,3,2
697,better,3139,2141,20
698,works,1225,967,20
699,refreshingly,2,2,1
700,direct,400,359,20
701,hand-waving,3,3,2
702,compared,365,304,20
703,illustrated,27,23,11
704,murder,481,312,13
705,madness,25,21,8
706,looks,697,620,20
707,persecution,103,64,6
708,ancient,213,157,17
709,day,2238,1534,20
710,not,31864,10725,20
711,library,519,296,19
712,catalog,134,88,18
713,card,1680,816,20
714,anthology,7,3,2
715,listing,106,66,20
716,above,1826,1323,20
717,gordon,203,182,20
718,stein,55,46,7
719,rationalism,13,9,3
720,covering,93,83,18
721,wide,339,256,20
722,range,476,355,20
723,subjects,110,83,14
724,devil,101,76,15
725,evil,482,313,16
726,morality,591,231,8
727,bibliography,56,30,10
728,edmund,11,11,6
729,d,1257,684,20
730,cohen,29,25,11
731,bible-believer,2,2,1
732,mind,1126,935,20
733,study,730,398,19
734,why,5082,3151,20
735,become,875,713,20
736,effect,808,609,20
737,them,8457,4590,20
738,there,16428,7917,20
739,mail-based,3,3,2
740,small,1314,1003,20
741,archive,317,143,17
742,server,958,317,19
743,carries,88,83,17
744,archives,172,89,14
745,articles,433,305,20
746,files,1658,672,19
747,archive-server,31,13,5
748,information,3146,1748,20
749,send,1715,1059,20
750,mail,1457,938,20
751,saying,1438,1030,20
752,help,2669,1977,20
753,index,213,117,18
754,will,15049,6301,20
755,back,3326,2348,20
756,reply,567,510,20
757,mathew,131,102,4
758,pgp,348,196,12
759,signed,206,140,15
760,introduction,172,110,19
761,article,4066,2960,20
762,provide,924,690,20
763,general,1656,1030,20
764,whilst,20,16,9
765,i,78529,16033,20
766,have,31458,11697,20
767,tried,1012,853,20
768,neutral,208,91,14
769,possible,1953,1479,20
770,regarding,447,376,20
771,contentious,17,16,5
772,issues,625,408,20
773,should,6175,3665,20
774,always,1719,1372,20
775,remember,1461,1212,20
776,document,350,216,17
777,represents,113,105,16
778,viewpoint,86,70,12
779,would,15734,7599,20
780,encourage,123,115,17
781,widely,181,149,18
782,draw,391,297,20
783,your,12704,5569,20
784,conclusions,163,129,18
785,relevant,271,226,18
786,listed,252,215,20
787,companion,38,32,12
788,sense,997,771,20
789,cohesion,2,2,2
790,progression,31,21,9
791,presented,270,207,19
792,imaginary,25,20,8
793,conversation,178,129,15
794,between,2672,1944,20
795,theist,76,50,3
796,questions,1266,854,20
797,asked,884,637,20
798,cropped,7,7,3
799,up,8538,5067,20
800,repeatedly,119,113,19
801,since,3626,2665,20
802,newsgroup,572,402,20
803,created,621,469,20
804,frequently,224,174,20
805,answered,186,148,20
806,please,3519,2803,20
807,note,1477,1025,20
808,arguably,32,30,13
809,slanted,6,6,2
810,towards,383,317,20
811,answering,87,74,18
812,posed,40,39,13
813,because,5731,3425,20
814,faq,714,362,20
815,reflect,181,172,20
816,actually,2190,1759,20
817,predominantly,20,20,8
818,proselytize,6,6,3
819,talk,803,623,20
820,am,5536,3784,20
821,talking,982,796,20
822,primarily,197,164,19
823,religions,279,172,8
824,judaism,104,64,6
825,islam,395,159,6
826,involve,161,142,16
827,superhuman,12,6,2
828,being,4191,2847,20
829,much,5036,3470,20
830,discussion,881,632,20
831,apply,489,401,20
832,characterized,39,35,10
833,absence,89,84,14
834,atheists,423,183,5
835,further,733,594,20
836,believe,3646,2292,20
837,does,7006,4590,20
838,exist,795,547,20
839,former,419,325,19
840,referred,192,164,19
841,weak,250,188,16
842,position,893,631,20
843,latter,224,201,19
844,strong,718,517,20
845,important,1167,843,20
846,difference,1019,803,20
847,these,6366,3750,20
848,two,4809,3017,20
849,scepticism,12,11,3
850,disbelief,31,27,11
851,do,14545,7106,20
852,fall,482,396,20
853,trap,73,56,15
854,assuming,407,373,20
855,others,1815,1368,20
856,limit,295,225,19
857,specific,722,504,20
858,flat-out,6,6,3
859,denials,13,13,4
860,isn't,1732,1380,20
861,doesn't,2790,2164,20
862,disbelieving,3,3,3
863,same,4123,2833,20
864,thing,2624,2042,20
865,believing,187,149,13
866,definitely,301,271,20
867,proposition,58,36,7
868,means,1597,1192,20
869,something,3706,2691,20
870,equivalent,222,184,20
871,false,484,319,19
872,simply,1195,925,20
873,no,12435,6376,20
874,brings,122,110,19
875,agnosticism,21,14,2
876,then,6861,4080,20
877,term,558,403,20
878,coined,24,14,5
879,professor,292,114,15
880,huxley,7,6,4
881,meeting,275,158,16
882,metaphysical,22,18,4
883,defined,374,258,19
884,someone,2768,2163,20
885,disclaimed,6,6,5
886,things,3025,2116,20
887,cause,1118,852,20
888,unknowable,11,8,4
889,thus,915,711,20
890,believes,206,158,13
891,we,15480,5246,20
892,cannot,1405,1023,20
893,words,1036,731,20
894,slippery,21,21,9
895,language,587,332,19
896,inexact,4,4,1
897,beware,60,56,17
898,out,10200,5960,20
899,point,3099,2216,20
900,view,916,667,20
901,fact,2576,1832,20
902,calls,437,348,20
903,herself,80,66,14
904,mean,1994,1459,20
905,referring,197,184,18
906,shades,19,18,10
907,meaning,602,410,20
908,generalize,12,12,6
909,say,4788,3008,20
910,don't,9989,5714,20
911,certainly,1161,945,20
912,science,1531,780,20
913,find,3211,2341,20
914,universe,555,278,17
915,basis,633,504,20
916,justifications,26,26,6
917,chooses,59,53,12
918,ask,1343,1056,20
919,her,2075,825,20
920,feel,1216,925,20
921,major,956,756,20
922,self-contradictory,10,10,3
923,essentially,250,220,19
924,logically,60,49,9
925,impossible,371,324,20
926,could,6024,4025,20
927,evidence,1640,854,19
928,prove,555,416,19
929,counter-examples,1,1,1
930,statement,872,615,19
931,prime,173,125,16
932,larger,335,277,20
933,well-defined,15,12,5
934,numbers,809,566,20
935,course,2155,1730,20
936,deals,116,92,19
937,objects,367,190,18
938,obeying,21,14,4
939,rules,598,323,20
940,universes,32,20,4
941,similarly,171,153,19
942,matter,1280,1031,20
943,debate,305,255,17
944,moment,386,292,19
945,provably,5,4,3
946,still,3523,2578,20
947,subtle,46,46,17
948,reasons,598,507,20
949,assume,757,642,20
950,counter-example,6,4,2
951,show,1258,943,20
952,assumption,240,178,19
953,invalid,71,58,14
954,finding,239,217,20
955,hand,1050,838,20
956,question,2702,1916,20
957,showing,277,260,20
958,require,496,406,20
959,exhaustive,21,18,6
960,search,477,295,18
961,places,529,447,20
962,where,4384,3020,20
963,might,3181,2385,20
964,found,1792,1356,20
965,impractical,19,18,6
966,problem,3470,2257,20
967,largest,108,89,18
968,primes,6,4,2
969,therefore,843,661,20
970,generally,511,416,20
971,accepted,342,289,19
972,unless,1049,911,20
973,follow,593,458,20
974,rule,571,403,20
975,can't,2928,2240,20
976,time,6428,3986,20
977,unicorns,21,14,2
978,though,2018,1639,20
979,conclusively,6,5,3
980,anywhere,309,280,20
981,tested,227,176,19
982,everywhere,141,132,18
983,assumes,106,104,17
984,default,288,159,12
985,test,784,502,20
986,profess,17,13,5
987,usually,889,721,20
988,claim,1251,824,20
989,instead,1122,935,20
990,restrict,84,77,16
991,claims,666,495,20
992,cover,598,380,20
993,varieties,17,16,9
994,described,412,313,19
995,followers,248,191,11
996,present-day,8,8,5
997,practice,452,347,20
998,close,676,586,20
999,sufficiently,62,60,17
1000,counter-arguments,1,1,1
1001,impossibility,5,4,4
1002,disproving,10,9,4
1003,every,2353,1736,20
1004,really,3785,2796,20
1005,applicable,72,61,19
1006,non-detectable,2,1,1
1007,interacts,6,6,5
1008,our,4560,2171,20
1009,effects,386,269,19
1010,interaction,55,44,13
1011,measurable,19,16,8
1012,hence,219,192,20
1013,detectable,23,20,6
1014,interact,37,30,13
1015,argue,344,299,19
1016,importance,198,163,16
1017,easily,541,471,20
1018,israelites,60,39,5
1019,surely,265,222,19
1020,today,1499,1138,20
1021,demanding,53,47,13
1022,scientifically,14,14,3
1023,verifiable,21,17,7
1024,physical,513,311,20
1025,perceive,36,33,11
1026,caused,424,359,20
1027,presence,209,175,17
1028,otherwise,639,578,20
1029,how,8421,5026,20
1030,distinguish,80,72,15
1031,him,3517,1776,20
1032,ok,932,716,20
1033,common,910,677,20
1034,pastimes,1,1,1
1035,redefinition,4,4,3
1036,game,2095,963,20
1037,cynical,49,38,12
1038,follows,303,274,20
1039,points,762,472,20
1040,re-defines,1,1,1
1041,gradually,43,34,12
1042,until,1387,1140,20
1043,arrives,19,18,11
1044,prepared,212,169,16
1045,accept,801,586,20
1046,records,190,143,19
1047,along,702,601,20
1048,agreed,197,171,19
1049,continues,162,147,17
1050,eventually,312,281,20
1051,uses,826,634,20
1052,original,1220,892,20
1053,definitions,134,105,18
1054,redefinitions,3,3,2
1055,originally,238,212,20
1056,needed,652,518,20
1057,agree,1291,999,20
1058,seen,1738,1427,20
1059,apparently,513,436,20
1060,inconsistent,49,47,12
1061,tend,340,282,20
1062,play,1242,800,20
1063,digression,6,6,5
1064,answer,1320,949,20
1065,depends,291,260,20
1066,crucially,2,2,2
1067,meant,388,332,19
1068,controlling,52,49,15
1069,power,2344,1326,20
1070,especially,972,872,20
1071,worship,247,141,8
1072,pointing,136,117,19
1073,passing,166,148,20
1074,buddhism,16,14,2
1075,according,847,638,20
1076,definition,537,352,19
1077,nor,866,678,20
1078,categorized,13,13,8
1079,meaningful,71,63,13
1080,widening,4,4,3
1081,encompass,17,17,6
1082,tends,121,107,19
1083,result,743,590,20
1084,aspects,190,156,20
1085,human,1531,818,20
1086,behaviour,126,93,15
1087,suddenly,160,139,18
1088,becoming,180,174,17
1089,classed,2,2,2
1090,politics,187,153,15
1091,watching,298,260,18
1092,tv,584,407,20
1093,just,9753,6110,20
1094,act,693,490,20
1095,firstly,44,43,14
1096,entirely,374,328,19
1097,clear,994,763,20
1098,secondly,95,92,17
1099,necessary,708,559,20
1100,adopt,54,51,13
1101,core,190,141,19
1102,beliefs,435,264,13
1103,assumptions,119,89,15
1104,sensory,19,18,5
1105,data,2519,1037,20
1106,experience,867,714,20
1107,few,2484,1970,20
1108,subject,1364,870,20
1109,questioning,54,45,11
1110,throws,46,38,10
1111,doubt,728,635,20
1112,assumed,196,166,19
1113,laws,856,522,16
1114,physics,336,228,19
1115,observers,57,52,8
1116,basic,605,443,20
1117,ideas,654,525,20
1118,called,1842,1350,20
1119,acts,430,259,19
1120,almost,1128,933,20
1121,everything,1201,900,20
1122,said,4182,2192,20
1123,loses,33,32,14
1124,refer,284,230,20
1125,complete,648,513,20
1126,certain,955,732,20
1127,individual,615,434,20
1128,scientists,210,136,12
1129,claiming,243,216,17
1130,tendency,59,53,16
1131,reluctant,31,30,14
1132,state,2205,1355,20
1133,certainty,53,41,11
1134,supporting,178,154,17
1135,fit,428,355,20
1136,closer,205,184,18
1137,match,210,176,20
1138,experimental,138,90,19
1139,lack,486,405,20
1140,asserting,44,38,8
1141,anti-religious,7,3,3
1142,unfortunate,84,77,18
1143,label,96,82,17
1144,everyone,1188,939,20
1145,either,2028,1616,20
1146,clear-cut,4,3,2
1147,enemy,126,91,13
1148,runs,760,463,20
1149,counter,100,89,19
1150,anti-religion,1,1,1
1151,believers,100,86,6
1152,speak,732,592,20
1153,antipathy,2,2,2
1154,hatred,140,105,8
1155,categorization,2,2,2
1156,hostile,81,65,13
1157,unfair,67,58,14
1158,attitudes,41,38,12
1159,broad,97,79,20
1160,spectrum,108,81,18
1161,let,2662,1998,20
1162,attitude,298,241,18
1163,questioned,57,47,8
1164,mention,527,458,20
1165,except,875,770,20
1166,perhaps,1403,1127,20
1167,friends,461,369,20
1168,part,2490,1700,20
1169,socially,24,20,8
1170,acceptable,246,194,19
1171,countries,439,294,17
1172,convert,410,259,19
1173,historically,57,53,13
1174,made,2779,1960,20
