,word,word_freq,doc_freq,group_freq
124,passage,176,111,10
125,conway,8,8,4
126,hall,271,187,20
127,red,728,494,20
128,lion,23,19,8
129,square,145,125,19
130,freethinker,2,2,1
131,monthly,88,69,15
132,magazine,355,277,20
133,founded,101,85,12
134,germany,477,326,19
135,ibka,6,2,1
136,internationaler,4,2,1
137,bund,6,5,4
138,der,66,46,14
139,konfessionslosen,4,2,1
140,und,27,18,7
141,atheisten,4,2,1
142,postfach,14,10,4
143,berlin,53,41,13
144,journal,249,142,19
145,miz,2,2,1
146,materialien,2,2,1
147,informationen,2,2,1
148,zur,6,6,3
149,zeit,5,5,4
150,politisches,2,2,1
151,konfessionslosesn,2,2,1
152,hrsg,2,2,1
153,miz-vertrieb,2,2,1
154,ibdk,2,2,1
155,ucherdienst,2,2,1
156,hannover,6,6,4
157,fiction,114,85,11
158,thomas,457,343,20
159,disch,2,2,1
160,santa,145,95,18
161,claus,18,12,5
162,compromise,170,106,15
163,short,730,617,20
164,story,659,504,20
165,ultimate,119,103,18
166,proof,416,298,18
167,exists,645,511,19
168,characters,179,120,15
169,events,538,387,18
170,fictitious,5,5,4
171,similarity,27,26,13
172,living,615,488,19
173,dead,879,620,20
174,gods,258,146,13
175,uh,95,88,16
176,walter,61,52,15
177,miller,215,119,20
178,jr,107,94,18
179,canticle,2,2,1
180,leibowitz,4,2,1
181,gem,23,21,12
182,post,1763,1437,20
183,atomic,121,87,14
184,doomsday,5,3,2
185,monks,9,8,4
186,spent,310,254,20
187,lives,534,405,19
188,copying,71,61,13
189,blueprints,3,3,2
190,saint,95,66,12
191,filling,47,42,18
192,sheets,65,37,16
193,paper,567,407,20
194,ink,74,36,8
195,leaving,197,181,20
196,white,956,613,20
197,lines,1255,978,20
198,letters,226,180,20
199,edgar,42,32,9
200,pangborn,2,2,1
201,davy,8,8,2
202,set,2175,1410,20
203,clerical,7,7,5
204,church,1180,470,14
205,forbids,16,16,7
206,produce,351,289,19
207,substance,121,100,13
208,atoms,130,57,8
209,philip,43,39,14
210,dick,129,107,18
211,thought-provoking,6,5,2
212,wrote,919,801,20
213,philosophical,73,59,10
214,stories,235,194,20
215,novels,11,9,6
216,bizarre,54,50,16
217,times,1521,1159,20
218,approachable,2,2,1
219,sf,72,61,17
220,truth,1146,607,19
221,technology,1076,687,20
222,believed,319,259,17
223,met,225,181,18
224,sort,1017,849,20
225,god,5012,1400,20
226,remained,81,72,15
227,sceptical,25,19,5
228,relevance,55,50,14
229,pot-healer,4,2,1
230,galactic,38,29,2
231,fallible,13,11,3
232,alien,70,60,11
233,deity,82,45,7
234,summons,12,10,4
235,earth,1094,613,19
236,craftsmen,3,3,2
237,women,897,458,17
238,remote,370,212,19
239,planet,327,173,19
240,raise,235,209,18
241,giant,76,63,14
242,cathedral,6,6,4
243,beneath,31,29,10
244,oceans,7,5,3
245,demand,248,194,19
246,faith,984,457,16
247,earthers,4,4,2
248,joe,434,328,20
249,fernwright,2,2,1
250,unable,207,201,19
251,comply,29,24,10
252,polished,12,11,5
253,ironic,46,44,13
254,amusing,42,41,13
255,maze,12,12,6
256,death,989,662,20
257,technology-based,2,2,1
258,noteworthy,18,18,8
259,description,340,251,20
260,valis,4,4,2
261,schizophrenic,3,3,1
262,hero,39,34,10
263,searches,68,59,16
264,hidden,140,118,19
265,mysteries,39,30,5
266,gnostic,8,8,3
267,christianity,618,364,8
268,reality,514,348,20
269,fired,216,155,15
270,brain,321,237,19
271,pink,83,45,11
272,laser,199,130,14
273,beam,75,56,13
274,unknown,196,169,19
275,divine,179,118,10
276,origin,225,174,19
277,accompanied,34,31,8
278,dogmatic,21,19,4
279,dismissively,2,2,1
280,friend,713,588,20
281,odd,159,152,20
282,invasion,124,102,12
283,invades,8,8,2
284,woman,398,250,19
285,pregnant,62,49,8
286,returns,113,90,19
287,star,285,191,19
288,system,4305,2063,20
289,terminally,6,6,4
290,ill,78,69,13
291,assisted,38,30,10
292,wired,47,41,13
293,easy,815,692,20
294,listening,161,149,18
295,music,251,189,20
296,margaret,14,14,8
297,atwood,5,3,2
298,handmaid,2,2,1
299,tale,45,33,14
300,premise,118,87,9
301,congress,442,234,14
302,mysteriously,6,6,5
303,assassinated,7,7,3
304,fundamentalists,43,34,5
305,charge,395,314,20
306,nation,347,233,14
307,diary,15,15,6
308,life,1983,1252,20
309,live,1215,918,20
310,christian,1302,659,16
311,theocracy,4,3,1
312,property,349,220,18
313,revoked,13,12,7
314,bank,283,173,19
315,accounts,186,145,16
316,closed,416,329,20
317,sinful,79,46,5
318,luxuries,6,6,4
319,outlawed,23,20,6
320,radio,740,536,20
321,readings,33,24,9
322,crimes,209,146,10
323,punished,82,63,9
324,retroactively,3,3,2
325,doctors,243,142,14
326,performed,178,138,20
327,legal,680,456,20
328,abortions,113,52,5
329,hunted,7,7,4
330,hanged,32,21,7
331,writing,439,363,20
332,style,220,187,20
333,difficult,538,463,20
334,grows,44,41,10
335,chilling,19,17,6
336,authors,177,115,15
337,dull,40,33,13
338,rambling,14,13,9
339,criticized,20,19,10
340,worth,732,597,20
341,reading,874,731,20
342,fuss,19,18,8
343,versions,355,233,18
344,true,2267,1521,20
345,non-fiction,5,5,3
346,peter,545,387,20
347,de,429,283,20
348,rosa,18,16,6
349,vicars,2,2,1
350,christ,1066,477,10
351,bantam,7,6,4
352,catholic,324,174,8
353,enlighting,2,2,1
354,papal,26,15,3
355,immoralities,3,3,2
356,adulteries,2,2,1
357,fallacies,17,10,4
358,german,294,176,20
359,translation,247,168,17
360,gottes,2,2,1
361,erste,4,4,2
362,diener,2,2,1
363,die,573,421,20
364,dunkle,2,2,1
365,seite,2,2,1
366,des,496,171,13
367,papsttums,2,2,1
368,droemer-knaur,2,2,1
369,michael,794,606,20
370,martin,208,165,20
371,atheism,353,142,5
372,justification,155,120,14
373,temple,125,81,12
374,university,2694,2023,20
375,philadelphia,226,129,17
376,detailed,176,138,20
377,scholarly,54,44,9
378,outstanding,39,36,12
379,appendix,12,10,7
380,defining,67,56,12
381,terminology,52,49,16
382,usage,201,120,18
383,tendentious,7,5,2
384,non-belief,5,3,2
385,argues,33,28,8
386,negative,176,147,20
387,existence,601,349,15
388,positive,297,241,19
389,belief,612,340,16
390,non-existence,29,21,4
391,includes,728,471,20
392,refutations,11,11,5
393,challenging,28,25,12
394,arguments,432,317,18
395,attention,324,292,20
396,paid,404,320,20
397,refuting,10,10,5
398,contempory,2,2,1
399,theists,119,64,3
400,platinga,2,2,1
401,swinburne,12,2,1
402,hardcover,17,14,6
403,paperback,41,33,8
404,comprehensive,140,75,15
405,critique,29,23,8
406,considers,69,65,13
407,contemporary,55,43,11
408,defences,3,3,2
409,ultimately,97,91,16
410,demonstrates,61,54,11
411,unsupportable,2,2,1
412,incoherent,16,14,5
413,turner,59,57,12
414,creed,62,20,6
415,johns,24,23,13
416,hopkins,62,61,15
417,baltimore,187,106,13
418,md,180,120,17
419,subtitled,2,2,1
420,origins,101,65,11
421,unbelief,6,3,2
422,america,570,395,20
423,examines,5,5,4
424,agnostic,46,40,7
425,atheistic,22,18,3
426,mainstream,85,71,13
427,alternative,314,246,19
428,world-view,6,4,3
429,focusses,3,3,2
430,period,831,437,20
431,france,188,121,17
432,britain,122,75,12
433,emphasis,117,81,15
434,england,206,168,18
435,developments,37,34,12
436,religious,968,568,11
437,secularization,3,3,2
438,intellectual,117,107,12
439,fate,92,79,10
440,single,1005,762,20
441,idea,1546,1234,20
442,george,485,336,20
443,seldes,3,3,2
444,editor,294,191,19
445,ballantine,2,2,1
446,dictionary,210,142,18
447,quotations,41,29,12
448,concentrating,13,13,8
449,statements,404,309,18
450,person,1779,1215,20
451,writings,130,113,11
452,explicitly,135,116,17
453,implicitly,33,33,9
454,philosophy,188,143,17
455,obscure,70,53,17
456,suppressed,33,33,11
457,opinions,1485,1256,20
458,popular,378,281,20
459,observations,234,146,17
460,traces,39,28,12
461,expressed,437,425,20
462,twisted,52,45,16
463,centuries,127,106,8
464,cardiff,7,3,2
465,derived,125,105,14
466,noyes,19,17,2
467,views,466,348,19
468,richard,373,289,20
469,revised,87,52,16
470,clarendon,4,4,2
471,paperbacks,4,4,3
472,oxford,76,71,12
473,volume,483,227,20
474,trilogy,4,4,2
475,coherence,11,11,5
476,theism,154,34,3
477,concluded,80,76,16
478,reason,1890,1383,20
479,attempts,227,204,19
480,construct,46,44,14
481,series,752,502,20
482,inductive,29,18,7
483,rely,145,134,18
484,imputation,4,4,3
485,late,497,415,20
486,century,324,236,16
487,western,498,323,18
488,values,734,359,20
489,aesthetics,11,11,3
490,supposedly,209,189,20
491,simple,893,726,20
492,conceived,36,33,8
493,mackie,23,18,4
494,decisively,5,5,3
495,rejected,125,109,16
496,miracle,91,65,12
497,attempt,517,418,19
498,rebut,10,10,6
499,posthumous,2,2,1
500,review,350,246,20
501,principal,64,57,15
502,ranges,51,37,11
503,classical,59,51,14
504,positions,200,158,18
505,descartes,12,12,4
506,anselm,6,6,1
507,berkeley,99,81,16
508,hume,4,4,3
509,al,564,418,20
510,moral,896,378,16
511,newman,24,18,11
512,kant,13,6,4
513,sidgwick,2,2,1
514,restatements,2,2,1
515,theses,3,3,2
516,plantinga,2,2,1
517,push,205,154,20
518,concept,365,290,20
519,realm,53,40,10
520,rational,184,127,15
521,kierkegaard,6,6,2
522,kung,3,3,2
523,philips,44,36,11
524,replacements,32,28,10
525,lelie,2,2,1
526,axiarchism,2,2,1
527,delight,13,12,7
528,read,2818,1941,20
529,formalistic,3,3,2
530,refreshingly,2,2,1
531,direct,400,359,20
532,hand-waving,3,3,2
533,compared,365,304,20
534,illustrated,27,23,11
535,murder,481,312,13
536,madness,25,21,8
537,persecution,103,64,6
538,ancient,213,157,17
539,day,2238,1534,20
540,library,519,296,19
541,catalog,134,88,18
542,card,1680,816,20
543,anthology,7,3,2
544,listing,106,66,20
545,gordon,203,182,20
546,stein,55,46,7
547,rationalism,13,9,3
548,covering,93,83,18
549,wide,339,256,20
550,range,476,355,20
551,subjects,110,83,14
552,devil,101,76,15
553,evil,482,313,16
554,morality,591,231,8
555,bibliography,56,30,10
556,edmund,11,11,6
557,cohen,29,25,11
558,bible-believer,2,2,1
559,mind,1126,935,20
560,study,730,398,19
561,mail-based,3,3,2
562,archive,317,143,17
563,server,958,317,19
564,carries,88,83,17
565,archives,172,89,14
566,articles,433,305,20
567,files,1658,672,19
568,archive-server,31,13,5
569,send,1715,1059,20
570,mail,1457,938,20
571,reply,567,510,20
572,mathew,131,102,4
573,pgp,348,196,12
574,signed,206,140,15
575,introduction,172,110,19
576,article,4066,2960,20
577,provide,924,690,20
578,whilst,20,16,9
579,neutral,208,91,14
580,contentious,17,16,5
581,issues,625,408,20
582,remember,1461,1212,20
583,document,350,216,17
584,represents,113,105,16
585,viewpoint,86,70,12
586,encourage,123,115,17
587,draw,391,297,20
588,conclusions,163,129,18
589,relevant,271,226,18
590,listed,252,215,20
591,companion,38,32,12
592,sense,997,771,20
593,cohesion,2,2,2
594,progression,31,21,9
595,imaginary,25,20,8
596,conversation,178,129,15
597,theist,76,50,3
598,questions,1266,854,20
599,cropped,7,7,3
600,repeatedly,119,113,19
601,newsgroup,572,402,20
602,created,621,469,20
603,frequently,224,174,20
604,answered,186,148,20
605,note,1477,1025,20
606,arguably,32,30,13
607,slanted,6,6,2
608,answering,87,74,18
609,posed,40,39,13
610,faq,714,362,20
611,reflect,181,172,20
612,proselytize,6,6,3
613,talk,803,623,20
614,talking,982,796,20
615,religions,279,172,8
616,judaism,104,64,6
617,islam,395,159,6
618,involve,161,142,16
619,superhuman,12,6,2
620,discussion,881,632,20
621,apply,489,401,20
622,characterized,39,35,10
623,absence,89,84,14
624,atheists,423,183,5
625,exist,795,547,20
626,referred,192,164,19
627,weak,250,188,16
628,position,893,631,20
629,strong,718,517,20
630,difference,1019,803,20
631,scepticism,12,11,3
632,disbelief,31,27,11
633,fall,482,396,20
634,trap,73,56,15
635,assuming,407,373,20
636,limit,295,225,19
637,specific,722,504,20
638,flat-out,6,6,3
639,denials,13,13,4
640,disbelieving,3,3,3
641,believing,187,149,13
642,proposition,58,36,7
643,equivalent,222,184,20
644,false,484,319,19
645,simply,1195,925,20
646,brings,122,110,19
647,agnosticism,21,14,2
648,term,558,403,20
649,coined,24,14,5
650,professor,292,114,15
651,huxley,7,6,4
652,meeting,275,158,16
653,metaphysical,22,18,4
654,defined,374,258,19
655,disclaimed,6,6,5
656,unknowable,11,8,4
657,believes,206,158,13
658,slippery,21,21,9
659,language,587,332,19
660,inexact,4,4,1
661,beware,60,56,17
662,view,916,667,20
663,calls,437,348,20
664,referring,197,184,18
665,shades,19,18,10
666,meaning,602,410,20
667,generalize,12,12,6
668,science,1531,780,20
669,universe,555,278,17
670,basis,633,504,20
671,justifications,26,26,6
672,chooses,59,53,12
673,feel,1216,925,20
674,major,956,756,20
675,self-contradictory,10,10,3
676,essentially,250,220,19
677,logically,60,49,9
678,impossible,371,324,20
679,evidence,1640,854,19
680,prove,555,416,19
681,counter-examples,1,1,1
682,statement,872,615,19
683,prime,173,125,16
684,larger,335,277,20
685,well-defined,15,12,5
686,deals,116,92,19
687,objects,367,190,18
688,obeying,21,14,4
689,rules,598,323,20
690,universes,32,20,4
691,matter,1280,1031,20
692,debate,305,255,17
693,moment,386,292,19
694,provably,5,4,3
695,subtle,46,46,17
696,reasons,598,507,20
697,assume,757,642,20
698,counter-example,6,4,2
699,assumption,240,178,19
700,invalid,71,58,14
701,finding,239,217,20
702,hand,1050,838,20
703,question,2702,1916,20
704,require,496,406,20
705,exhaustive,21,18,6
706,search,477,295,18
707,impractical,19,18,6
708,largest,108,89,18
709,primes,6,4,2
710,accepted,342,289,19
711,follow,593,458,20
712,rule,571,403,20
713,time,6428,3986,20
714,unicorns,21,14,2
715,conclusively,6,5,3
716,tested,227,176,19
717,assumes,106,104,17
718,default,288,159,12
719,test,784,502,20
720,profess,17,13,5
721,claim,1251,824,20
722,restrict,84,77,16
723,claims,666,495,20
724,cover,598,380,20
725,varieties,17,16,9
726,followers,248,191,11
727,present-day,8,8,5
728,practice,452,347,20
729,close,676,586,20
730,counter-arguments,1,1,1
731,impossibility,5,4,4
732,disproving,10,9,4
733,applicable,72,61,19
734,non-detectable,2,1,1
735,interacts,6,6,5
736,effects,386,269,19
737,interaction,55,44,13
738,measurable,19,16,8
739,detectable,23,20,6
740,interact,37,30,13
741,argue,344,299,19
742,easily,541,471,20
743,israelites,60,39,5
744,surely,265,222,19
745,demanding,53,47,13
746,scientifically,14,14,3
747,verifiable,21,17,7
748,physical,513,311,20
749,perceive,36,33,11
750,caused,424,359,20
751,presence,209,175,17
752,distinguish,80,72,15
753,common,910,677,20
754,pastimes,1,1,1
755,redefinition,4,4,3
756,game,2095,963,20
757,cynical,49,38,12
758,re-defines,1,1,1
759,gradually,43,34,12
760,arrives,19,18,11
761,prepared,212,169,16
762,accept,801,586,20
763,records,190,143,19
764,agreed,197,171,19
765,continues,162,147,17
766,eventually,312,281,20
767,original,1220,892,20
768,definitions,134,105,18
769,redefinitions,3,3,2
770,originally,238,212,20
771,agree,1291,999,20
772,inconsistent,49,47,12
773,tend,340,282,20
774,play,1242,800,20
775,digression,6,6,5
776,answer,1320,949,20
777,depends,291,260,20
778,crucially,2,2,2
779,meant,388,332,19
780,controlling,52,49,15
781,power,2344,1326,20
782,worship,247,141,8
783,passing,166,148,20
784,buddhism,16,14,2
785,definition,537,352,19
786,categorized,13,13,8
787,meaningful,71,63,13
788,widening,4,4,3
789,encompass,17,17,6
790,result,743,590,20
791,aspects,190,156,20
792,human,1531,818,20
793,behaviour,126,93,15
794,suddenly,160,139,18
795,classed,2,2,2
796,politics,187,153,15
797,watching,298,260,18
798,tv,584,407,20
799,firstly,44,43,14
800,adopt,54,51,13
801,core,190,141,19
802,beliefs,435,264,13
803,assumptions,119,89,15
804,sensory,19,18,5
805,data,2519,1037,20
806,experience,867,714,20
807,subject,1364,870,20
808,questioning,54,45,11
809,throws,46,38,10
810,doubt,728,635,20
811,assumed,196,166,19
812,laws,856,522,16
813,physics,336,228,19
814,observers,57,52,8
815,basic,605,443,20
816,ideas,654,525,20
817,called,1842,1350,20
818,acts,430,259,19
819,loses,33,32,14
820,refer,284,230,20
821,complete,648,513,20
822,individual,615,434,20
823,scientists,210,136,12
824,claiming,243,216,17
825,tendency,59,53,16
826,reluctant,31,30,14
827,certainty,53,41,11
828,supporting,178,154,17
829,fit,428,355,20
830,closer,205,184,18
831,match,210,176,20
832,experimental,138,90,19
833,lack,486,405,20
834,asserting,44,38,8
835,anti-religious,7,3,3
836,unfortunate,84,77,18
837,label,96,82,17
838,clear-cut,4,3,2
839,enemy,126,91,13
840,runs,760,463,20
841,counter,100,89,19
842,anti-religion,1,1,1
843,believers,100,86,6
844,speak,732,592,20
845,antipathy,2,2,2
846,hatred,140,105,8
847,categorization,2,2,2
848,hostile,81,65,13
849,unfair,67,58,14
850,attitudes,41,38,12
851,broad,97,79,20
852,spectrum,108,81,18
853,attitude,298,241,18
854,questioned,57,47,8
855,mention,527,458,20
856,friends,461,369,20
857,socially,24,20,8
858,acceptable,246,194,19
859,countries,439,294,17
860,convert,410,259,19
861,historically,57,53,13
862,impact,215,156,18
863,eastern,194,141,17
864,bloc,9,8,5
865,digress,12,12,7
866,soviet,416,247,13
867,union,180,118,18
868,dedicated,93,83,17
869,separation,84,66,12
870,citizens,532,353,15
871,legally,149,125,16
872,free,1831,1091,20
873,wished,28,28,11
874,institution,60,49,13
875,stalin,73,38,7
876,control,1521,951,20
877,destroy,178,148,15
878,churches,186,99,5
879,gain,250,195,20
880,vocal,26,23,10
881,encroaching,1,1,1
882,matters,226,178,18
883,business,832,548,20
884,government,3167,1412,20
885,individuals,364,282,19
886,concerned,384,347,20
887,remain,278,240,19
888,separate,344,285,20
889,running,1285,922,20
890,principle,192,148,16
891,legislate,13,11,7
892,promote,108,97,15
893,expense,90,80,14
894,nature,630,424,20
895,purely,146,142,17
896,responsible,548,437,20
897,encouraging,49,45,15
898,political,883,444,16
899,reforms,10,10,4
900,campaigning,7,7,6
901,increase,432,295,20
902,spending,213,171,19
903,foreign,356,246,18
904,aid,193,127,18
905,campaigns,39,28,11
906,campaign,164,119,13
907,discriminate,45,39,10
908,grounds,157,130,15
909,happy,509,445,20
910,prayer,169,95,8
911,schools,213,148,18
912,care,1187,837,20
913,pray,236,158,14
914,voters,45,33,7
915,lawmakers,15,13,6
916,ignore,259,218,20
917,non-christians,29,27,4
918,intimidating,15,15,7
919,told,1275,880,20
920,non-religious,10,9,3
921,join,235,182,19
922,diversity,34,27,8
923,formulate,21,19,9
924,public,1784,1060,20
925,event,551,335,20
926,non-prayers,1,1,1
927,family,588,398,20
928,reasonable,568,471,20
929,wasting,71,65,18
930,motives,54,45,9
931,mentioned,654,578,20
932,increased,214,147,20
933,charities,8,4,3
934,hospitals,91,62,9
935,object,532,310,19
936,purpose,608,456,20
937,contribute,112,94,20
938,sake,162,138,17
939,practical,186,157,18
940,voluntary,70,58,11
941,theistic,45,30,3
942,shouting,93,33,10
943,connection,351,270,19
944,charity,55,47,9
945,obvious,482,415,20
946,everyday,55,53,14
947,cheap,461,379,20
948,self-righteous,31,26,8
949,excuse,267,246,19
950,plug,200,164,18
951,building,681,443,20
952,hospital,235,134,14
953,strange,262,227,20
954,holding,241,201,20
955,party,641,293,20
956,birthday,37,29,10
957,rarely,129,126,19
958,evangelical,46,34,4
959,backlash,4,2,2
960,upbringing,13,12,6
961,rebelling,5,5,4
962,parents,323,204,18
963,force,850,576,20
964,choose,464,378,20
965,call,1884,1422,20
966,doubtless,21,20,10
967,chose,172,140,15
968,conforming,5,5,3
969,expectations,61,55,13
970,conclude,135,108,15
971,conformism,1,1,1
972,independently,57,54,14
973,listen,309,276,20
974,heavy,284,216,20
975,metal,166,121,14
976,backwards,38,34,16
977,prefer,363,334,20
978,verdi,1,1,1
979,requiem,1,1,1
980,wear,171,148,19
981,hawaiian,6,6,3
982,shirts,19,12,8
983,dress,38,28,10
984,orange,60,53,17
985,robes,2,2,2
986,buddhists,16,15,4
987,carry,538,399,20
988,copy,990,623,20
989,arguing,140,119,15
990,chances,181,159,19
991,realising,4,4,3
992,unexceptional,2,1,1
993,appearance,133,79,19
994,define,488,289,18
995,obedience,68,49,6
996,obey,91,75,12
997,talks,218,158,18
998,unacceptable,41,39,11
999,wrong,1859,1375,20
1000,humans,332,223,18
1001,social,418,272,15
1002,animals,224,146,15
1003,maximally,2,2,2
1004,successful,192,157,20
1005,co-operate,1,1,1
1006,discourage,36,33,11
1007,anti-social,6,6,4
1008,immoral,189,104,10
1009,purposes,302,241,20
1010,self-preservation,12,12,4
1011,behave,68,62,13
1012,compassionate,9,9,5
1013,natural,469,320,19
1014,empathize,2,2,2
1015,naturally,131,119,18
1016,immorally,4,3,2
1017,justify,212,188,18
1018,actions,546,398,16
1019,equally,188,178,16
1020,trustworthy,14,14,7
1021,deserves,93,86,15
1022,acceptance,89,81,17
1023,jesus,2018,639,14
1024,save,714,525,20
1025,mercy,59,50,9
1026,display,1072,476,20
1027,unlimited,59,46,15
1028,patience,58,52,14
1029,receive,371,282,20
1030,eternal,332,183,13
1031,immortal,19,19,8
1032,invisible,58,50,13
1033,honor,119,92,14
1034,glory,140,102,14
1035,forever,223,194,19
1036,quote,464,354,20
1037,court,615,359,20
1038,february,192,112,17
1039,jeffrey,35,32,16
1040,dahmer,2,2,2
1041,notorious,24,21,11
1042,cannibal,3,3,3
1043,serial,550,300,17
1044,killer,47,38,13
1045,milwaukee,101,61,13
1046,mass-murderer,2,1,1
1047,wisconsin,60,44,15
1048,trivial,67,63,16
1049,survey,192,119,15
1050,conducted,106,97,14
1051,roper,1,1,1
1052,behavior,402,297,20
1053,deteriorated,3,3,2
1054,born,350,260,17
1055,experiences,209,174,18
1056,respondents,11,9,5
1057,driven,197,175,19
1058,intoxicated,13,6,2
1059,conversion,220,116,17
1060,illegal,524,364,19
1061,drugs,510,261,14
1062,percent,407,184,18
1063,admitted,97,83,13
1064,engaging,40,39,10
1065,illicit,11,11,6
1066,sex,503,228,15
1067,salvation,155,100,7
1068,september,106,87,17
1069,monopoly,42,35,9
1070,explained,196,175,19
1071,held,465,364,20
1072,characteristic,57,49,14
1073,code,1216,632,20
1074,imply,196,180,18
1075,decreed,5,4,4
1076,supernatural,67,51,4
1077,denying,77,72,11
1078,responded,116,107,19
1079,fundamentally,31,31,11
1080,incompatible,68,59,14
1081,observed,182,140,16
1082,unbelievers,28,18,3
1083,ignorance,204,167,20
1084,denial,60,53,9
1085,choice,640,471,20
1086,vast,136,117,18
1087,majority,435,335,20
1088,studying,67,64,14
1089,depth,155,102,16
1090,careful,215,196,19
1091,considered,740,595,20
1092,decision,485,310,19
1093,reject,149,123,12
1094,inevitable,74,66,16
1095,consequence,58,51,13
1096,personality,86,65,11
1097,honestly,97,94,16
1098,good-natured,2,2,2
1099,desire,200,156,16
1100,watched,147,134,17
1101,brother,284,225,17
1102,figure,572,476,20
1103,risks,103,75,13
1104,approach,464,326,20
1105,decide,381,329,20
1106,unwilling,41,37,14
1107,souls,80,66,12
1108,possibility,356,302,19
1109,reach,301,251,20
1110,closed-minded,12,8,4
1111,biased,121,110,16
1112,insincere,2,2,1
1113,offensive,183,133,15
1114,comments,649,501,20
1115,properly,329,279,19
1116,viewed,81,70,18
1117,patronizing,4,4,3
1118,engage,69,61,13
1119,vital,57,51,16
1120,benefit,256,214,20
1121,sincere,53,46,9
1122,searched,52,45,11
1123,basically,450,389,20
1124,telling,310,284,19
1125,futile,21,20,8
1126,completely,642,549,20
1127,pointless,58,54,12
1128,purposeful,3,3,3
1129,pursue,55,47,10
1130,goals,311,191,15
1131,count,366,273,20
1132,wishing,28,28,13
1133,influence,144,120,17
1134,dedicate,5,5,4
1135,reform,125,72,11
1136,hope,1255,1097,20
1137,mark,1013,710,20
1138,random,307,214,20
1139,silly,178,161,20
1140,cup,363,236,15
1141,coffee,71,63,18
1142,comfort,55,45,13
1143,danger,173,149,17
1144,obtaining,59,56,12
1145,pets,6,6,5
1146,spiritual,180,113,6
1147,level,799,575,20
1148,food,550,294,20
1149,drink,177,135,15
1150,sound,868,626,20
1151,empty,156,123,19
1152,vulnerable,43,39,11
1153,comforting,18,17,5
1154,harsh,44,38,12
1155,comfortable,108,92,18
1156,searching,100,91,15
1157,unhappy,31,28,15
1158,hard,1814,1283,20
1159,luck,335,313,20
1160,worry,292,253,20
1161,encountered,80,72,17
1162,supposed,599,518,20
1163,inconclusive,6,5,4
1164,thousands,364,273,18
1165,proved,131,104,15
1166,future,808,614,20
1167,worrying,26,24,13
1168,asserts,30,26,11
1169,real,1974,1537,20
1170,harm,190,162,16
1171,huge,289,260,20
1172,financial,109,90,18
1173,burden,133,95,18
1174,mankind,102,72,9
1175,money,1340,890,20
1176,buildings,107,80,14
1177,effort,407,336,19
